model	n	MAE	MSE	RMSE	R_squared	Pearson	Spearman
Elastic Net	734	0.0136023372978093	0.00037045774927238	0.0192472790095738	0.997884156695778	0.998941586067332	0.974500610285339
LightGBM	734	0.0104484143742268	0.000301448127336969	0.0173622615847409	0.998278300283773	0.99913920550327	0.98239591736895
Random Forest	734	0.0131047642679036	0.000436204448761645	0.0208855081039855	0.997508649059179	0.998760203644826	0.974748290013784
SVM	734	0.0707721679341175	0.00585652685582554	0.0765279482008079	0.966550859961128	0.993257777098704	0.957343797260699
XGBoost	734	0.0122890844449365	0.000606260026879728	0.024622348118726	0.996537388619861	0.998269826129584	0.982419958701332
